"Year" "Month" "Prec" "TMax" "TMin" "PAR" "CO2"
1800-2100 1 62.9 7.74193548387097 0.935483870967742 202.08426940918 387.968454301075
1800-2100 2 56.6 9.46428571428571 1.17857142857143 280.730714416504 391.997128935532
1800-2100 3 56.8 15.3870967741935 4.51612903225806 411.639049682617 391.526236486486
1800-2100 4 43.8 20 8.1 466.489434814453 387.454280726257
1800-2100 5 42.9 24.8064516129032 12.2258064516129 478.876544799805 383.200512820513
1800-2100 6 37 28.4333333333333 14.5333333333333 547.730385131836 378.710874015748
1800-2100 7 0 34.8387096774194 17.9354838709677 578.163970947266 378.197402159244
1800-2100 8 19.2 32 16.6451612903226 567.930385131836 374.078712938005
1800-2100 9 17.7 27.2333333333333 14.8666666666667 450.416694030762 378.369025423729
1800-2100 10 24.4 22.2258064516129 12.3225806451613 307.04 381.395256410256
1800-2100 11 61.8 15.8 7.46666666666667 210.033704223633 384.589135714286
1800-2100 12 26.7 9.74193548387097 1.83870967741935 212.181279602051 386.286950067476
